order,family,Genus,species,mass_g,gestation_mo,newborn_g,weaning_mo,wean_mass_g,AFR_mo,max_life_mo,litter_size,litters_per_year
Artiodactyla,Antilocapridae,Antilocapra,americana,45375,8.13,3246.36,3,8900,13.53,142,1.85,1
Artiodactyla,Bovidae,Addax,nasomaculatus,182375,9.39,5480,6.5,NA,27.27,308,1,0.99
Artiodactyla,Bovidae,Aepyceros,melampus,41480,6.35,5093,5.63,15900,16.66,213,1,0.95
Artiodactyla,Bovidae,Alcelaphus,buselaphus,15e4,7.9,10166.67,6.5,NA,23.02,240,1,NA
Artiodactyla,Bovidae,Ammodorcas,clarkei,28500,6.8,NA,NA,NA,NA,NA,1,NA
Artiodactyla,Bovidae,Ammotragus,lervia,55500,5.08,3810,4,NA,14.89,251,1.37,2
Artiodactyla,Bovidae,Antidorcas,marsupialis,3e4,5.72,3910,4.04,NA,10.23,228,1,NA
Artiodactyla,Bovidae,Antilope,cervicapra,37500,5.5,3846,2.13,NA,20.13,255,1,1.89
Artiodactyla,Bovidae,Bison,bison,497666.67,8.93,2e4,10.71,157500,29.45,300,1,1
Artiodactyla,Bovidae,Bison,bonasus,5e5,9.14,23000.08,6.6,NA,29.99,324,1,1
Artiodactyla,Bovidae,Bos,grunniens,333e3,8.88,18e3,7.33,NA,24.27,300,1,0.75
Artiodactyla,Bovidae,Bos,frontalis,8e5,9.02,23033.33,4.5,NA,24.16,314,1.17,0.89
Artiodactyla,Bovidae,Bos,javanicus,666666.67,9.83,NA,9.5,NA,25.54,319,1.33,1
Artiodactyla,Bovidae,Boselaphus,tragocamelus,169e3,8.51,5875,NA,NA,29.97,260,1.51,1.13
Artiodactyla,Bovidae,Bubalus,depressicornis,NA,10,NA,NA,NA,NA,433,1,NA
Artiodactyla,Bovidae,Bubalus,mindorensis,233333.33,9.85,NA,NA,NA,NA,300,1,0.5
Artiodactyla,Bovidae,Bubalus,bubalis,95e4,10.47,37500,7.5,NA,19.88,348,1.33,0.5
Artiodactyla,Bovidae,Budorcas,taxicolor,302e3,8.29,6e3,NA,NA,30,235,1.17,1
Artiodactyla,Bovidae,Capra,caucasica,55e3,5.17,3850,NA,NA,NA,NA,1,NA
Artiodactyla,Bovidae,Capra,falconeri,41e3,5.36,NA,5.5,NA,24.5,144,2,NA
Artiodactyla,Bovidae,Capra,ibex,71500,5.6,2791.43,7.5,NA,29.24,NA,1.25,0.75
Artiodactyla,Bovidae,Capra,cylindricornis,5e4,5.29,3787.5,6,NA,33.5,264,1.1,1
Artiodactyla,Bovidae,Capra,hircus,6e4,5.22,2200,5,NA,16,249,1.61,1
Artiodactyla,Bovidae,Cephalophus,niger,18100,4.2,NA,NA,NA,NA,NA,NA,NA
Artiodactyla,Bovidae,Cephalophus,nigrifrons,13900,NA,NA,NA,NA,NA,236,NA,NA
Artiodactyla,Bovidae,Cephalophus,natalensis,1e4,NA,NA,NA,NA,NA,NA,1,NA
Artiodactyla,Bovidae,Cephalophus,leucogaster,12700,NA,NA,NA,NA,NA,NA,1,NA
Artiodactyla,Bovidae,Cephalophus,ogilbyi,2e4,4,NA,NA,NA,NA,NA,1,NA
Artiodactyla,Bovidae,Cephalophus,zebra,NA,7.47,1707.5,NA,NA,NA,NA,1,NA
Artiodactyla,Bovidae,Cephalophus,rufilatus,12500,7.82,965,NA,NA,13.78,NA,1,NA
Artiodactyla,Bovidae,Cephalophus,dorsalis,11600,7.75,1610,NA,NA,19,NA,1,NA
Artiodactyla,Bovidae,Cephalophus,monticola,6250,6.43,800,NA,NA,16,144,1,NA
Artiodactyla,Bovidae,Cephalophus,silvicultor,62500,5.43,2400,1.25,20512.5,NA,NA,1,1
Artiodactyla,Bovidae,Cephalophus,maxwellii,9e3,4,832,2,NA,32,120,1,1
Artiodactyla,Bovidae,Connochaetes,gnou,132250,8.5,11e3,7.5,NA,25.1,235,1.01,NA
Artiodactyla,Bovidae,Connochaetes,taurinus,164500,8.32,17716.67,8,NA,20.4,NA,1,1
Artiodactyla,Bovidae,Damaliscus,hunteri,159e3,9.3,8350,NA,NA,NA,NA,1,NA
Artiodactyla,Bovidae,Damaliscus,pygargus,84500,8.2,6792,5,NA,23.26,260,1.25,NA
Artiodactyla,Bovidae,Damaliscus,lunatus,128e3,7.81,11100,NA,NA,21,NA,1,0.57
Artiodactyla,Bovidae,Gazella,soemmerringii,4e4,6.5,NA,NA,NA,19.9,NA,NA,NA
Artiodactyla,Bovidae,Gazella,rufifrons,27e3,5.75,NA,NA,NA,NA,NA,1,NA
Artiodactyla,Bovidae,Gazella,dama,73e3,6.84,NA,NA,NA,NA,NA,1,NA
Artiodactyla,Bovidae,Gazella,leptoceros,23600,5.42,4640,NA,NA,5.17,NA,1,NA
Artiodactyla,Bovidae,Gazella,granti,47636.36,6.45,5602.5,NA,NA,8.25,NA,1,NA
Artiodactyla,Bovidae,Gazella,spekei,2e4,6.48,1253.33,NA,NA,16.8,NA,1,NA
Artiodactyla,Bovidae,Gazella,cuvieri,17500,5.61,NA,NA,NA,11.46,NA,1.46,NA
Artiodactyla,Bovidae,Gazella,dorcas,16985,4.74,1500.63,2.75,7e3,22.27,NA,1.18,1
Artiodactyla,Bovidae,Gazella,subgutturosa,25500,5.37,2426.67,3.5,13500,18.5,188,1.44,1
Artiodactyla,Bovidae,Gazella,thomsonii,16300,5.37,2553.75,3.35,NA,12.18,NA,1,1.5
Artiodactyla,Bovidae,Gazella,gazella,20750,6,NA,3,NA,13.2,219,1.6,1.5
Artiodactyla,Bovidae,Hemitragus,hylocrius,NA,6.17,NA,5,NA,20.5,NA,1,NA
Artiodactyla,Bovidae,Hemitragus,jemlahicus,35200,6,2e3,4.97,NA,24,261,1.03,1
Artiodactyla,Bovidae,Hippotragus,equinus,242e3,9.32,15166.67,6,NA,23.5,NA,1,NA
Artiodactyla,Bovidae,Hippotragus,niger,200500,8.87,15447.14,7,NA,24.51,267,1,1
Artiodactyla,Bovidae,Kobus,megaceros,17500,NA,NA,NA,NA,19.67,NA,NA,NA
Artiodactyla,Bovidae,Kobus,vardonii,63950,8.5,NA,NA,NA,NA,NA,1,NA
Artiodactyla,Bovidae,Kobus,leche,81733.33,7.57,5100,4.5,NA,23.31,180,1,NA
Artiodactyla,Bovidae,Kobus,ellipsiprymnus,175333.33,8.91,9e3,7.39,NA,25.34,222,1.1,1.1
Artiodactyla,Bovidae,Kobus,kob,58600,8.38,4937.5,6.39,31600,11.6,263,1,1.3
Artiodactyla,Bovidae,Litocranius,walleri,41333.33,6.76,NA,NA,NA,11.83,156,1,NA
Artiodactyla,Bovidae,Madoqua,saltiana,3250,NA,690,1.5,NA,10,NA,1,NA
Artiodactyla,Bovidae,Madoqua,guentheri,4550,5.84,681.67,2.75,2825.5,NA,NA,1,2
Artiodactyla,Bovidae,Madoqua,kirkii,4876.67,5.77,654,2.35,1780,8.77,171,1,2
