unique_coffee,points_category,points
1,aroma,8.67
1,flavor,8.83
1,aftertaste,8.67
1,acidity,8.75
1,body,8.5
1,balance,8.42
1,uniformity,10
1,clean_cup,10
1,sweetness,10
1,cupper_points,8.75
2,aroma,8.75
2,flavor,8.67
2,aftertaste,8.5
2,acidity,8.58
2,body,8.42
2,balance,8.42
2,uniformity,10
2,clean_cup,10
2,sweetness,10
2,cupper_points,8.58
3,aroma,8.42
3,flavor,8.5
3,aftertaste,8.42
3,acidity,8.42
3,body,8.33
3,balance,8.42
3,uniformity,10
3,clean_cup,10
3,sweetness,10
3,cupper_points,9.25
4,aroma,8.17
4,flavor,8.58
4,aftertaste,8.42
4,acidity,8.42
4,body,8.5
4,balance,8.25
4,uniformity,10
4,clean_cup,10
4,sweetness,10
4,cupper_points,8.67
5,aroma,8.25
5,flavor,8.5
5,aftertaste,8.25
5,acidity,8.5
5,body,8.42
5,balance,8.33
5,uniformity,10
5,clean_cup,10
5,sweetness,10
5,cupper_points,8.58
6,aroma,8.58
6,flavor,8.42
6,aftertaste,8.42
6,acidity,8.5
6,body,8.25
6,balance,8.33
6,uniformity,10
6,clean_cup,10
6,sweetness,10
6,cupper_points,8.33
7,aroma,8.42
7,flavor,8.5
7,aftertaste,8.33
7,acidity,8.5
7,body,8.25
7,balance,8.25
7,uniformity,10
7,clean_cup,10
7,sweetness,10
7,cupper_points,8.5
8,aroma,8.25
8,flavor,8.33
8,aftertaste,8.5
8,acidity,8.42
8,body,8.33
8,balance,8.5
8,uniformity,10
8,clean_cup,10
8,sweetness,9.33
8,cupper_points,9
9,aroma,8.67
9,flavor,8.67
9,aftertaste,8.58
9,acidity,8.42
9,body,8.33
9,balance,8.42
9,uniformity,9.33
9,clean_cup,10
9,sweetness,9.33
9,cupper_points,8.67
10,aroma,8.08
10,flavor,8.58
10,aftertaste,8.5
10,acidity,8.5
10,body,7.67
10,balance,8.42
10,uniformity,10
10,clean_cup,10
10,sweetness,10
10,cupper_points,8.5
11,aroma,8.17
11,flavor,8.67
11,aftertaste,8.25
11,acidity,8.5
11,body,7.75
11,balance,8.17
11,uniformity,10
11,clean_cup,10
11,sweetness,10
11,cupper_points,8.58
12,aroma,8.25
12,flavor,8.42
12,aftertaste,8.17
12,acidity,8.33
12,body,8.08
12,balance,8.17
12,uniformity,10
12,clean_cup,10
12,sweetness,10
12,cupper_points,8.5
13,aroma,8.08
13,flavor,8.67
13,aftertaste,8.33
13,acidity,8.42
13,body,8
13,balance,8.08
13,uniformity,10
13,clean_cup,10
13,sweetness,10
13,cupper_points,8.33
14,aroma,8.33
14,flavor,8.42
14,aftertaste,8.08
14,acidity,8.25
14,body,8.25
14,balance,8
14,uniformity,10
14,clean_cup,10
14,sweetness,10
14,cupper_points,8.58
15,aroma,8.25
15,flavor,8.33
15,aftertaste,8.5
15,acidity,8.25
15,body,8.58
15,balance,8.75
15,uniformity,9.33
15,clean_cup,10
15,sweetness,9.33
15,cupper_points,8.5
16,aroma,8
16,flavor,8.5
16,aftertaste,8.58
16,acidity,8.17
16,body,8.17
16,balance,8
16,uniformity,10
16,clean_cup,10
16,sweetness,10
16,cupper_points,8.17
17,aroma,8.33
17,flavor,8.25
17,aftertaste,7.83
17,acidity,7.75
17,body,8.5
17,balance,8.42
17,uniformity,10
17,clean_cup,10
17,sweetness,10
17,cupper_points,8.33
18,aroma,8.17
18,flavor,8.33
18,aftertaste,8.25
18,acidity,8.33
18,body,8.42
18,balance,8.33
18,uniformity,9.33
18,clean_cup,10
18,sweetness,9.33
18,cupper_points,8.83
19,aroma,8.42
19,flavor,8.25
19,aftertaste,8.08
19,acidity,8.17
19,body,7.92
19,balance,8
19,uniformity,10
19,clean_cup,10
19,sweetness,10
19,cupper_points,8.42
20,aroma,8.17
20,flavor,8.17
20,aftertaste,8
20,acidity,8.17
20,body,8.08
20,balance,8.33
20,uniformity,10
20,clean_cup,10
20,sweetness,10
20,cupper_points,8.33
21,aroma,8
21,flavor,8.25
21,aftertaste,8.08
21,acidity,8.5
21,body,8.25
21,balance,8
21,uniformity,10
21,clean_cup,10
21,sweetness,10
21,cupper_points,8.17
22,aroma,8.08
22,flavor,8.25
22,aftertaste,8
22,acidity,8.17
22,body,8
22,balance,8.33
22,uniformity,10
22,clean_cup,10
22,sweetness,10
22,cupper_points,8.33
23,aroma,8.17
23,flavor,8.25
23,aftertaste,8.17
23,acidity,8
23,body,7.83
23,balance,8.17
23,uniformity,10
23,clean_cup,10
23,sweetness,10
23,cupper_points,8.58
24,aroma,8.25
24,flavor,8.33
24,aftertaste,8.17
24,acidity,8.17
24,body,7.83
24,balance,8.17
24,uniformity,10
24,clean_cup,10
24,sweetness,10
24,cupper_points,8.17
25,aroma,8.42
25,flavor,8.17
25,aftertaste,7.92
25,acidity,8.17
25,body,8.33
25,balance,8
25,uniformity,10
25,clean_cup,10
25,sweetness,10
25,cupper_points,8.08
26,aroma,8.5
26,flavor,8.5
26,aftertaste,8
26,acidity,8
26,body,8
26,balance,8
26,uniformity,10
26,clean_cup,10
26,sweetness,10
26,cupper_points,7.92
27,aroma,7.83
27,flavor,8.25
27,aftertaste,8.08
27,acidity,8.17
27,body,8.17
27,balance,8.17
27,uniformity,10
27,clean_cup,10
27,sweetness,10
27,cupper_points,8.25
28,aroma,8.42
28,flavor,8.17
28,aftertaste,8.17
28,acidity,8.17
28,body,7.83
28,balance,7.92
28,uniformity,10
28,clean_cup,10
28,sweetness,10
28,cupper_points,8.17
29,aroma,8.17
29,flavor,8.08
29,aftertaste,8.08
29,acidity,8
29,body,8.08
29,balance,8
29,uniformity,10
29,clean_cup,10
29,sweetness,10
29,cupper_points,8.25
30,aroma,8
30,flavor,8
30,aftertaste,8
30,acidity,8.25
30,body,8
30,balance,8.17
30,uniformity,10
30,clean_cup,10
30,sweetness,10
30,cupper_points,8.17
31,aroma,7.92
31,flavor,8.25
31,aftertaste,8
31,acidity,8.33
31,body,8
31,balance,8.08
31,uniformity,10
31,clean_cup,10
31,sweetness,10
31,cupper_points,8
32,aroma,8.42
32,flavor,8.17
32,aftertaste,8.17
32,acidity,8
32,body,7.58
32,balance,8
32,uniformity,10
32,clean_cup,10
32,sweetness,10
32,cupper_points,8.17
33,aroma,8.5
33,flavor,8.17
33,aftertaste,8
33,acidity,7.75
33,body,8
33,balance,8
33,uniformity,10
33,clean_cup,10
33,sweetness,10
33,cupper_points,8
34,aroma,8.17
34,flavor,7.83
34,aftertaste,8
34,acidity,8.08
34,body,7.83
34,balance,8
34,uniformity,10
34,clean_cup,10
34,sweetness,10
34,cupper_points,8.42
35,aroma,8
35,flavor,8.08
35,aftertaste,7.92
35,acidity,8
35,body,8.08
35,balance,8.08
35,uniformity,10
35,clean_cup,10
35,sweetness,10
35,cupper_points,8.08
36,aroma,8.08
36,flavor,8
36,aftertaste,8
36,acidity,8.25
36,body,7.92
36,balance,7.92
36,uniformity,10
36,clean_cup,10
36,sweetness,10
36,cupper_points,8.08
37,aroma,8.08
37,flavor,8.17
37,aftertaste,8
37,acidity,7.92
37,body,7.92
37,balance,7.83
37,uniformity,10
37,clean_cup,10
37,sweetness,10
37,cupper_points,8.33
38,aroma,8.25
38,flavor,8.42
38,aftertaste,8.08
38,acidity,7.75
38,body,7.67
38,balance,7.83
38,uniformity,10
38,clean_cup,10
38,sweetness,10
38,cupper_points,8.25
39,aroma,7.92
39,flavor,7.75
39,aftertaste,8.08
39,acidity,8.08
39,body,8.08
39,balance,8.17
39,uniformity,10
39,clean_cup,10
39,sweetness,10
39,cupper_points,8.17
40,aroma,7.67
40,flavor,8.17
40,aftertaste,8
40,acidity,8
40,body,8.17
40,balance,8.08
40,uniformity,10
40,clean_cup,10
40,sweetness,10
40,cupper_points,8.08
41,aroma,7.83
41,flavor,8.33
41,aftertaste,7.83
41,acidity,8.25
41,body,7.58
41,balance,7.92
41,uniformity,10
41,clean_cup,10
41,sweetness,10
41,cupper_points,8.42
42,aroma,8.17
42,flavor,7.92
42,aftertaste,7.92
42,acidity,7.75
42,body,8.33
42,balance,8
42,uniformity,10
42,clean_cup,10
42,sweetness,10
42,cupper_points,8.08
43,aroma,8.42
43,flavor,7.92
43,aftertaste,8
43,acidity,7.75
43,body,7.92
43,balance,8
43,uniformity,10
43,clean_cup,10
43,sweetness,10
43,cupper_points,8.17
44,aroma,8.08
44,flavor,8.17
44,aftertaste,7.75
44,acidity,8.08
44,body,7.75
44,balance,7.83
44,uniformity,10
44,clean_cup,10
44,sweetness,10
44,cupper_points,8.42
45,aroma,8.08
45,flavor,8.08
45,aftertaste,8
45,acidity,8
45,body,7.83
45,balance,8.08
45,uniformity,10
45,clean_cup,10
45,sweetness,10
45,cupper_points,8
46,aroma,8.33
46,flavor,8
46,aftertaste,8
46,acidity,8
46,body,7.75
46,balance,8
46,uniformity,10
46,clean_cup,10
46,sweetness,10
46,cupper_points,8
47,aroma,8.08
47,flavor,8.08
47,aftertaste,7.83
47,acidity,7.92
47,body,8.08
47,balance,7.92
47,uniformity,10
47,clean_cup,10
47,sweetness,10
47,cupper_points,8.08
48,aroma,7.75
48,flavor,7.92
48,aftertaste,7.83
48,acidity,8.08
48,body,8.08
48,balance,8.17
48,uniformity,10
48,clean_cup,10
48,sweetness,10
48,cupper_points,8.17
49,aroma,7.92
49,flavor,8.17
49,aftertaste,7.83
49,acidity,8.5
49,body,7.5
49,balance,7.92
49,uniformity,10
49,clean_cup,10
49,sweetness,10
49,cupper_points,8.17
50,aroma,8.25
50,flavor,8
50,aftertaste,7.83
50,acidity,8.08
50,body,8
50,balance,7.92
50,uniformity,10
50,clean_cup,10
50,sweetness,10
50,cupper_points,7.92
51,aroma,7.75
51,flavor,8.08
51,aftertaste,8
51,acidity,8.25
51,body,8
51,balance,8
51,uniformity,10
51,clean_cup,10
51,sweetness,10
51,cupper_points,7.92
52,aroma,8.33
52,flavor,8.17
52,aftertaste,7.75
52,acidity,8
52,body,7.75
52,balance,7.83
52,uniformity,10
52,clean_cup,10
52,sweetness,10
52,cupper_points,8.17
53,aroma,7.92
53,flavor,8.08
53,aftertaste,7.92
53,acidity,8.08
53,body,8.08
53,balance,7.83
53,uniformity,10
53,clean_cup,10
53,sweetness,10
53,cupper_points,8
54,aroma,8.17
54,flavor,8.17
54,aftertaste,7.92
54,acidity,8.08
54,body,7.83
54,balance,7.75
54,uniformity,10
54,clean_cup,10
54,sweetness,10
54,cupper_points,8
55,aroma,8
55,flavor,8
55,aftertaste,8
55,acidity,8.17
55,body,7.83
55,balance,8
55,uniformity,10
