ID,Island,Sex,Morphology,Mating.status
Kauii_1,Kauii,female,gyno,mated
Kauii_2,Kauii,female,gyno,mated
Kauii_3,Kauii,female,gyno,mated
Kauii_4,Kauii,female,gyno,unmated
Kauii_5,Kauii,female,gyno,unmated
Kauii_6,Kauii,female,andro,unmated
Kauii_7,Kauii,female,andro,unmated
Kauii_8,Kauii,female,andro,unmated
Kauii_9,Kauii,female,andro,mated
Kauii_10,Kauii,female,andro,mated
Kauii_11,Kauii,female,andro,mated
Kauii_12,Kauii,male,male,mated
Kauii_13,Kauii,male,male,mated
Kauii_14,Kauii,male,male,mated
Kauii_15,Kauii,male,male,mated
Kauii_16,Kauii,male,male,mated
Kauii_17,Kauii,male,male,unmated
Kauii_18,Kauii,male,male,unmated
Kauii_19,Kauii,male,male,unmated
Kauii_20,Kauii,male,male,unmated
Kauii_21,Kauii,male,male,unmated
Hawaii_1,Hawaii,female,gyno,unmated
Hawaii_2,Hawaii,female,gyno,unmated
Hawaii_3,Hawaii,female,gyno,unmated
Hawaii_4,Hawaii,female,gyno,unmated
Hawaii_5,Hawaii,female,gyno,unmated
Hawaii_6,Hawaii,male,male,unmated
Hawaii_7,Hawaii,male,male,unmated
Hawaii_8,Hawaii,male,male,unmated
Hawaii_9,Hawaii,male,male,unmated
Hawaii_10,Hawaii,male,male,unmated
Hawaii_11,Hawaii,male,male,unmated
Oahu_1,Oahu,female,andro,mated
Oahu_2,Oahu,female,andro,mated
Oahu_3,Oahu,female,andro,mated
Oahu_4,Oahu,female,andro,mated
Oahu_5,Oahu,female,gyno,mated
Oahu_6,Oahu,female,gyno,mated
Oahu_7,Oahu,female,gyno,mated
Oahu_8,Oahu,female,gyno,unmated
Oahu_9,Oahu,female,gyno,unmated
Oahu_10,Oahu,female,gyno,unmated
Oahu_11,Oahu,female,gyno,unmated
Oahu_12,Oahu,female,andro,unmated
Oahu_13,Oahu,female,andro,unmated
Oahu_14,Oahu,female,andro,unmated
Oahu_15,Oahu,female,andro,unmated
Oahu_16,Oahu,male,male,unmated
Oahu_17,Oahu,male,male,unmated
Oahu_18,Oahu,male,male,unmated
Oahu_19,Oahu,male,male,unmated
Oahu_20,Oahu,male,male,unmated
Oahu_21,Oahu,male,male,mated
Oahu_22,Oahu,male,male,mated
Oahu_23,Oahu,male,male,mated
Oahu_24,Oahu,male,male,mated
Oahu_25,Oahu,male,male,mated
Texas_1,Texas,male,male,mated
Texas_2,Texas,male,male,mated
Texas_3,Texas,male,male,mated
Texas_4,Texas,male,male,unmated
Texas_5,Texas,male,male,unmated
Texas_6,Texas,male,male,unmated
Texas_7,Texas,male,male,unmated
Texas_8,Texas,female,andro,mated
Texas_9,Texas,female,andro,mated
Texas_10,Texas,female,andro,mated
Texas_11,Texas,female,gyno,mated
Texas_12,Texas,female,gyno,unmated
Texas_13,Texas,female,gyno,unmated
Texas_14,Texas,female,gyno,unmated
Texas_15,Texas,female,gyno,unmated
Texas_16,Texas,female,andro,unmated
Texas_17,Texas,female,andro,unmated
Texas_18,Texas,female,andro,unmated
Texas_19,Texas,female,andro,unmated
