Island,Sex,Morphology,Wing.size,Mating.status,Abdomen.length
Kauii,female,gyno,2179.579,mated,23.96366
Kauii,female,gyno,2266.906,mated,25.39681
Kauii,female,gyno,2038.859,mated,23.06850
Kauii,female,gyno,2215.799,unmated,25.11783
Kauii,female,gyno,2361.401,unmated,25.59180
Kauii,female,andro,2026.042,unmated,24.00616
Kauii,female,andro,2376.977,unmated,26.30904
Kauii,female,andro,2129.542,unmated,24.18147
Kauii,female,andro,2029.079,mated,22.79399
Kauii,female,andro,2164.924,mated,24.44607
Kauii,female,andro,2126.093,mated,24.08724
Kauii,male,male,1981.114,mated,23.38030
Kauii,male,male,2174.287,mated,27.06738
Kauii,male,male,1947.275,mated,23.47071
Kauii,male,male,1951.603,mated,23.55117
Kauii,male,male,2112.623,mated,25.77641
Kauii,male,male,2003.045,unmated,24.23802
Kauii,male,male,1918.478,unmated,23.49544
Kauii,male,male,1983.591,unmated,24.42372
Kauii,male,male,2015.467,unmated,23.96552
Kauii,male,male,1985.240,unmated,23.66924
Hawaii,female,gyno,2497.046,unmated,28.02067
Hawaii,female,gyno,2598.690,unmated,28.87800
Hawaii,female,gyno,2512.692,unmated,28.51594
Hawaii,female,gyno,2665.689,unmated,29.61999
Hawaii,female,gyno,2505.669,unmated,28.56775
Hawaii,male,male,2297.586,unmated,28.60729
Hawaii,male,male,2153.568,unmated,27.45557
Hawaii,male,male,2222.037,unmated,27.86206
Hawaii,male,male,2249.006,unmated,27.48314
Hawaii,male,male,2197.741,unmated,28.85873
Hawaii,male,male,2238.638,unmated,28.54920
Oahu,female,andro,2077.190,mated,23.39834
Oahu,female,andro,2188.322,mated,25.06257
Oahu,female,andro,2308.035,mated,26.10902
Oahu,female,andro,2089.064,mated,23.06992
Oahu,female,gyno,2384.666,mated,25.33693
Oahu,female,gyno,2404.299,mated,25.76696
Oahu,female,gyno,2239.521,mated,24.30754
Oahu,female,gyno,2208.106,unmated,24.59644
Oahu,female,gyno,2193.644,unmated,23.80709
Oahu,female,gyno,2170.919,unmated,23.93217
Oahu,female,gyno,2219.806,unmated,24.93236
Oahu,female,andro,2234.651,unmated,24.35628
Oahu,female,andro,2233.518,unmated,24.96251
Oahu,female,andro,2102.811,unmated,22.91547
Oahu,female,andro,2060.102,unmated,22.65804
Oahu,male,male,1902.721,unmated,23.31207
Oahu,male,male,1955.419,unmated,24.46873
Oahu,male,male,1919.836,unmated,24.57279
Oahu,male,male,1942.811,unmated,23.29446
Oahu,male,male,1801.836,unmated,24.01209
Oahu,male,male,1972.438,mated,23.53578
Oahu,male,male,1925.159,mated,23.55331
Oahu,male,male,1955.738,mated,23.60474
Oahu,male,male,2041.330,mated,24.73487
Oahu,male,male,1978.040,mated,24.12427
Texas,male,male,1940.860,mated,23.70523
Texas,male,male,1863.872,mated,22.65394
Texas,male,male,1778.642,mated,22.60746
Texas,male,male,1899.289,unmated,23.07469
Texas,male,male,1895.866,unmated,22.76533
Texas,male,male,1945.321,unmated,22.83346
Texas,male,male,1830.209,unmated,23.35031
Texas,female,andro,2174.372,mated,24.53140
Texas,female,andro,2179.403,mated,23.99502
Texas,female,andro,2207.992,mated,24.03360
Texas,female,gyno,2278.147,mated,25.1789
Texas,female,gyno,2090.978,unmated,22.55041
Texas,female,gyno,2077.154,unmated,23.61496
Texas,female,gyno,2111.110,unmated,23.47602
Texas,female,gyno,2343.476,unmated,25.27503
Texas,female,andro,2066.704,unmated,23.06894
Texas,female,andro,2059.717,unmated,23.02457
Texas,female,andro,2099.568,unmated,22.61566
Texas,female,andro,2195.354,unmated,23.80881

