Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,60,60,60,60,60,150,150,150,150,150,150,150,150,150,350,350,350,350,350,350,350,350
Algeria,60,60,60,60,60,60,60,60,120,120,120,300,300,300,300,600,600,600,600,600,NA,NA
Angola,600,1200,1800,2500,3300,4300,5300,6300,7300,8200,9200,10000,11000,12000,12000,13000,13000,13000,12000,11000,NA,NA
Argentina,3000,3200,3400,3600,3800,3500,3200,3100,3000,3000,2700,2800,2800,2900,3100,3200,3200,3200,3000,2900,NA,NA
Armenia,60,60,60,60,60,60,60,60,60,150,150,150,350,350,350,350,350,350,350,350,350,350
Australia,350,600,600,600,600,600,600,350,350,350,150,150,150,150,150,150,150,150,150,150,150,150
Austria,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Azerbaijan,60,60,60,60,60,60,60,60,60,60,150,150,150,350,350,350,350,350,350,350,350,350
Bahamas,350,350,600,600,600,600,600,600,600,600,600,600,600,600,600,600,350,350,350,350,350,350
Bangladesh,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,120,120,120,120,120,NA,NA
Barbados,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Belarus,60,60,60,60,60,60,60,60,60,60,60,60,150,300,300,300,300,600,600,1000,NA,NA
Belgium,60,60,60,60,60,60,150,150,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Belize,60,60,60,60,60,150,150,150,150,150,350,350,350,350,350,350,350,350,350,350,350,350
Benin,120,300,300,300,600,600,1300,1700,2200,2600,3000,3100,3300,3500,3600,3700,3500,3200,3100,2700,NA,NA
Bhutan,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Bolivia,1500,1700,1800,2000,2100,2100,2100,2100,2100,2100,2200,2200,2200,2200,2200,2200,2100,2100,2000,1900,1700,1600
Botswana,600,600,1300,2000,2900,4100,5500,7100,9000,11000,13000,15000,16000,17000,15000,12000,10000,9200,7900,5800,NA,NA
Brazil,4600,5700,7000,8400,10000,12000,13000,13000,11000,10000,10000,11000,12000,12000,13000,13000,12000,14000,14000,14000,15000,15000
Bulgaria,60,60,60,60,60,60,60,60,60,60,60,60,60,150,150,150,150,150,150,350,350,350
Burkina Faso,6700,8500,10000,12000,13000,14000,15000,15000,15000,15000,15000,15000,14000,14000,13000,12000,10000,9300,8300,7100,NA,NA
Burundi,3900,4900,6000,7300,8600,9800,11000,12000,12000,13000,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,NA,NA
Cambodia,350,600,1100,1700,2400,3200,4100,4900,5700,6400,6900,7300,7600,7600,7200,6200,4800,3000,2300,1800,1500,1400
Cameroon,600,1300,2100,3500,5600,8400,12000,16000,20000,24000,27000,31000,33000,35000,36000,38000,39000,38000,37000,37000,NA,NA
Canada,1300,1600,1900,2100,2300,2500,2300,600,350,350,350,350,350,350,350,350,350,350,600,350,350,350
Central African Republic,1000,1600,2500,3700,5200,6900,8600,10000,12000,13000,14000,15000,15000,16000,16000,15000,15000,14000,12000,11000,NA,NA
Chad,1400,1700,2100,2600,3200,3800,4500,5200,6100,7000,7900,8900,10000,11000,12000,13000,13000,13000,13000,11000,NA,NA
Colombia,1100,1500,2100,2900,3700,4700,5600,6500,7400,8200,8900,9300,7800,8000,8700,9300,9900,9200,9800,11000,11000,9700
Comoros,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NA,NA
Costa Rica,60,60,60,60,150,150,150,150,350,350,350,150,60,60,150,150,150,350,350,350,350,350
Cote d'Ivoire,3900,5800,8700,12000,17000,22000,28000,34000,39000,44000,48000,51000,52000,53000,53000,50000,47000,45000,41000,36000,NA,NA
Croatia,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Cuba,60,60,60,150,150,150,150,150,150,150,350,350,150,60,60,150,150,350,150,150,150,150
Czech Republic,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NA,NA
Democratic Republic of Congo,3000,3600,4200,4700,5000,5300,5500,5600,5600,5700,5700,5800,5800,5900,5900,5700,5100,4800,5000,5100,NA,NA
Denmark,60,60,60,60,120,120,120,60,60,60,60,60,60,60,60,60,60,60,60,60,NA,NA
Djibouti,60,120,120,120,300,300,300,300,600,600,600,600,600,600,600,600,600,600,1000,1000,NA,NA
Dominican Republic,350,600,600,1100,1400,1800,2200,2600,3000,3400,3700,4000,4100,4300,4400,4300,3900,3400,2700,2200,2000,1700
Ecuador,600,600,600,1000,1200,1300,1400,1500,1700,1800,2000,2200,2300,2500,2600,2600,2600,2600,2500,2300,2100,2000
Egypt,60,60,60,60,60,60,60,60,60,60,120,120,120,300,300,300,300,300,300,300,NA,NA
El Salvador,150,150,150,350,350,350,350,350,600,600,600,600,600,600,600,600,350,350,350,350,350,350
Equatorial Guinea,60,60,60,60,60,60,60,60,60,120,120,300,300,300,300,600,600,600,600,600,NA,NA
Eritrea,120,120,300,300,600,600,600,1000,1200,1400,1600,1800,2000,2100,2200,2200,2000,1800,1700,1700,NA,NA
Estonia,60,60,60,60,60,60,60,60,60,60,60,120,120,300,300,300,300,300,300,300,NA,NA
Fiji,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Finland,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NA,NA
France,8100,8200,8100,7900,7700,7500,5600,2700,1700,1700,1800,1800,1800,1800,1800,1500,1200,1200,1200,1300,1300,1300
Gabon,120,120,300,300,300,600,600,1000,1300,1500,1800,2000,2300,2500,2500,2300,2300,2500,2500,2400,NA,NA
Gambia,60,60,60,60,60,60,60,60,120,120,120,300,300,300,300,300,300,600,600,600,NA,NA
Georgia,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,150,150
Germany,2500,2800,3000,3100,3300,3300,2500,1700,1200,600,600,600,600,600,600,600,600,600,600,600,NA,NA
Ghana,600,600,1400,2000,3000,4400,6200,8200,10000,12000,15000,16000,18000,19000,20000,20000,20000,20000,19000,18000,NA,NA
Greece,150,350,350,350,350,350,350,150,150,150,150,150,350,350,350,350,350,350,350,350,150,150
Guatemala,350,350,350,350,600,600,600,600,1100,1300,1500,1700,1900,2000,1600,1800,2100,2000,1800,1700,2100,2500
Guinea,1100,1600,2100,2700,3300,3900,4500,5000,5400,5800,6100,6300,6500,6600,6700,6400,5900,5200,5000,4700,NA,NA
Guinea-Bissau,60,60,60,120,120,300,300,300,300,600,600,600,600,600,1100,1200,1300,1300,1200,1200,NA,NA
Guyana,150,150,150,150,350,350,350,350,350,600,600,600,600,600,600,600,350,350,350,350,350,350
Haiti,3900,5000,6100,7300,8300,9300,10000,11000,11000,11000,12000,12000,12000,11000,11000,11000,10000,8700,7600,6600,5900,5800
Honduras,600,1100,1700,2500,3400,4300,5100,5900,6400,6800,7000,7000,6800,6500,5800,5100,4600,4200,3700,3400,3000,2800
Hungary,350,350,350,350,350,350,350,350,350,350,350,350,350,350,150,150,150,150,150,150,150,60
Iceland,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
India,5300,8000,12000,18000,26000,37000,51000,67000,85000,100000,120000,140000,160000,180000,190000,200000,200000,190000,190000,170000,NA,NA
Indonesia,60,60,60,60,60,60,60,60,60,60,60,150,350,600,1200,2200,3300,4900,7100,9400,12000,15000
Iran,150,150,350,350,350,350,600,600,1300,1900,2500,3200,3900,4600,5200,5800,6400,6900,7300,7700,8000,8300
Ireland,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Israel,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Italy,1600,2500,3600,4600,5600,6500,4200,2300,1500,600,600,600,600,600,600,600,600,600,600,600,600,600
Jamaica,350,350,600,600,1100,1400,1800,2100,2400,2700,2900,3100,3200,3300,3300,3200,2800,2600,2400,2100,1800,1600
Japan,350,350,350,350,350,600,350,350,350,150,150,150,150,150,150,150,150,150,150,150,150,150
Kazakhstan,60,60,60,60,60,60,60,60,150,350,350,350,600,600,600,600,600,1000,1100,1100,1200,1200
Kenya,10000,16000,24000,34000,46000,60000,74000,87000,100000,110000,120000,120000,130000,130000,130000,120000,110000,99000,91000,80000,NA,NA
South Korea,150,150,150,350,350,350,350,350,150,60,60,60,60,150,150,150,150,150,350,350,350,350
Kyrgyz Republic,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,150,150,350,350,350
Lao,60,60,60,60,60,60,60,60,60,60,60,150,150,350,350,350,350,350,350,350,350,350
Latvia,60,60,60,60,60,60,60,60,60,60,150,150,150,350,350,350,350,350,350,350,600,600
Lebanon,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,150,150,150,150,150,150,150
